Starting a Gradle Daemon, 2 busy and 1 incompatible and 14 stopped Daemons could not be reused, use --status for details
Calculating task graph as configuration cache cannot be reused because file 'order-receiver/build.gradle.kts' has changed.
> Task :order-sender:extractProto UP-TO-DATE
> Task :order-sender:extractIncludeProto UP-TO-DATE
> Task :order-sender:processResources UP-TO-DATE
> Task :order-sender:generateProto UP-TO-DATE
> Task :order-sender:compileJava
> Task :order-sender:classes

> Task :order-sender:run
19:48:05.939 [main] INFO  c.example.ordersender.SenderConfig - Using environment value for SENDER_ID: order-sender-1
19:48:05.942 [main] INFO  c.example.ordersender.SenderConfig - Using environment value for SERVICE_NAME: order-sender
19:48:05.942 [main] INFO  c.example.ordersender.SenderConfig - Using environment value for SERVICE_ADDRESS: localhost
19:48:05.942 [main] INFO  c.example.ordersender.SenderConfig - Using default value for ADMIN_PORT: 9200
19:48:05.942 [main] INFO  c.example.ordersender.SenderConfig - Using environment value for CONSUL_HOST: localhost
19:48:05.942 [main] INFO  c.example.ordersender.SenderConfig - Using environment value for CONSUL_PORT: 8500
19:48:05.943 [main] INFO  c.example.ordersender.SenderConfig - Using environment value for RECEIVER_SERVICE_NAME: order-receiver
19:48:05.943 [main] INFO  c.example.ordersender.SenderConfig - Using environment value for MOCK_ORDER_INITIAL_DELAY: 2
19:48:05.943 [main] INFO  c.example.ordersender.SenderConfig - Using environment value for MOCK_ORDER_INTERVAL: 3
19:48:05.943 [main] INFO  c.example.ordersender.SenderConfig - Using environment value for MOCK_ORDER_ENABLED: true
19:48:05.943 [main] INFO  c.example.ordersender.SenderConfig - Using environment value for TCP_TIMEOUT_MS: 5000
19:48:05.943 [main] INFO  c.example.ordersender.SenderConfig - Using environment value for TCP_RETRY_ATTEMPTS: 3
19:48:05.943 [main] INFO  c.example.ordersender.SenderConfig - === Order Sender Configuration ===
19:48:05.943 [main] INFO  c.example.ordersender.SenderConfig - Sender ID: order-sender-1
19:48:05.943 [main] INFO  c.example.ordersender.SenderConfig - Service Name: order-sender
19:48:05.943 [main] INFO  c.example.ordersender.SenderConfig - Service Address: localhost
19:48:05.943 [main] INFO  c.example.ordersender.SenderConfig - Admin Port: 9200
19:48:05.943 [main] INFO  c.example.ordersender.SenderConfig - Consul Address: localhost:8500
19:48:05.943 [main] INFO  c.example.ordersender.SenderConfig - Receiver Service Name: order-receiver
19:48:05.943 [main] INFO  c.example.ordersender.SenderConfig - Mock Order Enabled: true
19:48:05.943 [main] INFO  c.example.ordersender.SenderConfig - Mock Order Initial Delay: 2
19:48:05.943 [main] INFO  c.example.ordersender.SenderConfig - Mock Order Interval: 3
19:48:05.943 [main] INFO  c.example.ordersender.SenderConfig - TCP Timeout: 5000ms
19:48:05.944 [main] INFO  c.example.ordersender.SenderConfig - TCP Retry Attempts: 3
19:48:05.944 [main] INFO  c.example.ordersender.SenderConfig - ================================
19:48:06.119 [main] INFO  c.e.o.OrderSenderApplication - Starting Order Sender (ID: order-sender-1)...
19:48:06.119 [main] INFO  c.e.o.consul.ConsulRegistration - Registering sender service with Consul: order-sender (ID: order-sender-1)
19:48:06.162 [main] INFO  c.e.o.consul.ConsulRegistration - Successfully registered sender service with Consul. Admin port: 9200
19:48:06.163 [main] INFO  c.e.o.OrderSenderApplication - Registered with Consul
19:48:06.247 [main] INFO  c.e.ordersender.admin.AdminServer - Admin server started on port 9200
19:48:06.247 [main] INFO  c.e.o.OrderSenderApplication - Admin server started on port 9200
19:48:06.248 [main] INFO  c.e.o.OrderSenderApplication - Order Sender started successfully
19:48:06.248 [main] INFO  c.e.o.OrderSenderApplication - Order Sender is running. Press Ctrl+C to stop.
19:48:08.291 [pool-2-thread-1] INFO  c.e.o.consul.ConsulServiceDiscovery - Found 0 healthy receiver instances
19:48:08.291 [pool-2-thread-1] WARN  c.e.o.OrderSenderApplication - No receivers found in Consul - skipping order send
